"","Vaccine_Type","Age_Group","Antibody_Titer"
"1","Vaccine_A","Young",71.5928653017168
"2","Vaccine_A","Elderly",76.5473376577508
"3","Vaccine_A","Young",103.380624712237
"4","Vaccine_A","Elderly",81.0576258713686
"5","Vaccine_A","Young",81.9393160274142
"6","Vaccine_A","Elderly",105.725974803249
"7","Vaccine_A","Young",86.913743089838
"8","Vaccine_A","Elderly",61.024081480902
"9","Vaccine_A","Young",69.6972072215971
"10","Vaccine_A","Elderly",73.3150704485006
"11","Vaccine_A","Young",78.3612269615919
"12","Vaccine_A","Elderly",65.3972074058605
"13","Vaccine_A","Young",66.0115717589108
"14","Vaccine_A","Elderly",61.6602407391768
"15","Vaccine_A","Young",51.6623829786889
"16","Vaccine_A","Elderly",86.8036970520462
"17","Vaccine_A","Young",67.4677571734386
"18","Vaccine_A","Elderly",30.5007426505554
"19","Vaccine_A","Young",70.5203385234553
"20","Vaccine_A","Elderly",52.908128884081
"21","Vaccine_B","Young",73.9826444101973
"22","Vaccine_B","Elderly",86.7303762801256
"23","Vaccine_B","Young",74.6099332753914
"24","Vaccine_B","Elderly",79.0666315606329
"25","Vaccine_B","Young",80.6244109822612
"26","Vaccine_B","Elderly",64.6996003388638
"27","Vaccine_B","Young",102.566805667418
"28","Vaccine_B","Elderly",92.3005967675477
"29","Vaccine_B","Young",72.9279459448208
"30","Vaccine_B","Elderly",108.807223816049
"31","Vaccine_B","Young",76.3969633221522
"32","Vaccine_B","Elderly",65.5739277551159
"33","Vaccine_B","Young",83.4268849156753
"34","Vaccine_B","Elderly",83.1720023129956
"35","Vaccine_B","Young",82.3237162245623
"36","Vaccine_B","Elderly",80.3296038115014
"37","Vaccine_B","Young",78.3087648030638
"38","Vaccine_B","Elderly",69.0713243413492
"39","Vaccine_B","Young",65.4105600439012
"40","Vaccine_B","Elderly",64.2929349848143
